scaffold,frequency
O=C1N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C=NC12CCCC2,1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1
O=C1NC(=O)C2C3C=CC(C3)C12,1
O=C1NC(=O)C2CC=CCC12,1
O=C1NC(CNC(=O)c2nnco2)=NC(C(=O)NCc2ccccc2)C1=O,1
O=C1NCCS1,1
O=C1NN=CCN1N=Cc1cccnc1,1
O=C1N[CH]C(=O)N2C[CH][CH][C]2C(=O)N[CH][CH]CC(NC(=O)c2ccc(-c3cc(-c4ccccc4)on3)cc2)C(=O)N[CH]C(=O)N2C[CH]C[C]2C(=O)N[C]1C[CH]c1ccccc1,1
O=C1N[CH]C(=O)N2C[CH][CH][C]2C(=O)N[CH][CH]C[C](NC(=O)c2ccc(-c3cc(-c4ccccc4)on3)cc2)C(=O)N[CH]C(=O)N2C[CH]C[C]2C(=O)N[C]1[CH][CH]c1ccccc1,1
O=C1Nc2ccccc2C(C#CC2CC2)O1,1
O=C1OC(=O)C2C3CCC(O3)C12,1
O=C1OC(=O)c2ccccc21,1
O=C1OC(CCc2ccccc2)CC=C1[CH]c1cccc(NS(=O)(=O)c2ccccn2)c1,1
O=C1OC2CC1C1C3OC3C3(CO3)C1C2,1
O=C1OCC2=C1CCC1C2CC2OC23CC2OC2C2OC123,1
O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,1
O=C1OCC2Cc3cc4c(cc3C(c3ccccc3)C12)OCO4,1
O=C1OCC=C1CCCCCCCCCCCC1CCC(C2CCCO2)O1,1
O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,1
O=C1OC[C]2[C]1[C](c1ccccc1)c1cc3c(cc1[C]2O[C]1[CH][CH][C]2O[C](c4cccs4)OC[C]2O1)OCO3,1
O=C1[CH]C=CC[CH]C[CH][C]2[CH]C[CH]C(O2)C(=O)C(=O)N2CCCC[C]2C(=O)O[C](C=CC2C[CH][CH]CC2)[CH][CH]C1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[CH]N1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccc(-c3ccccc3)cc2)NC(=O)[CH]N1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,1
O=C1[CH]CCNC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,1
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)Nc2cccc(-c3ccccc3)c2)CCNC(=O)[CH]NC(=O)[CH]N1,1
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2ccc(=O)n(-c3ccccc3)c2)CCNC(=O)[CH]NC(=O)[CH]N1,1
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2ccc(Oc3ccccc3)nc2)CCNC(=O)[CH]NC(=O)[CH]N1,1
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2ccc3ccccc3c2)CCNC(=O)[CH]NC(=O)[CH]N1,1
O=C1[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]NC(=O)[C](NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)c2cccc(-c3ccccn3)c2)CCNC(=O)[CH]NC(=O)[CH]N1,1
