scaffold,frequency
CC([CH]CC1CCCCC1)CCCCCC(C)(CCCCCC(C)CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)CCCCC1CCC2CCCCC21,1
CC([CH]C[CH]CCC1CCCCC1)C1[CH]CC2CCCCC2C1,1
CC([CH][CH]C1CCCCC1)C[C]1CC2[CH]C(C)C3[CH]C[C]4CCC4[C]3[C](CC(C)C3CCCCC3)C(C1)C2,1
CC1(C)CCC2CCC(CCC3CCCC(C4CCCCC4)C3)CC21,1
CC1C(C)C(C2CCC(C3CCCCC3)CC2)CC2CCCCC21,1
CC1C(C2CCCCC2)CCC2C(C3CCCCC3)CCCC12,1
CC1C(C2CCCCC2)CCCC1C1CCCCC1,1
CC1C(CC2CCC(C3CCCCC3C3CCCC3)CC2)CCC12CCCC2,1
CC1C2CCCCC2C(C)C2CC3[C](C[C]4C[CH][CH][CH]C4)CCCC3CC12,1
CC1C2CCCCC2CC1C1CCCCC1,1
CC1C2CCCCC2CC2C1CCC1C3CCCCC3CC12,1
CC1CC(C(C)CC2C(C)C3CC(CCC4CCCC4)CCC32)C1,1
CC1CC(C)C(C2CCCCC2)(C2CCCCC2)C1,1
CC1CC(C)C(C2CCCCC2)C1C1CCCCC1,1
CC1CC(CCC2CCCCC2)CCC1[CH]C1CCCC(CC(C)(C)C2CCCCC2)C1,1
CC1CC23CCC4CCC(CC5CCCCC5)CC4C2CCC1C3,1
CC1CC2C1CC(CC1CCCC1)C2(C)C,1
CC1CC2C3CCCCC3CCC2C2CCC3CCCCC3C12,1
CC1CC2CC1C1C3CC3C3(CC3)C1C2,1
CC1CC2CC2C1,1
CC1CC2CCC34C2CC1C1CCC(C)C(C2CCCCC23)C14,1
CC1CC2CCCC3CC4CCC56C4CC3C2C5C1C1CCCCC16,1
CC1CC2CCCCC2C(CCC2CC2)C1,1
CC1CCC(C)C1,1
CC1CCC(C)C1C1CCCCC1,1
CC1CCC(C)C2C1CC1C3CC3CC12,1
CC1CCC(C)C2C1[CH]C1[C]3C[C]3CC12,1
CC1CCC(C)C2CCCCC12,1
CC1CCC(C)CC1,1
