scaffold,frequency
CC(CCC1CCCCC1)C1CC2C[C]3CCC[CH]C3C(C)C2CC1C,1
CC(CCC1CCCCC1)CC1CC1,1
CC(CCC1CCCCC1)CCC1CCCC(CC2CCCCC2)C1,1
CC(CCC1CCCCC1)CCC1CCCCC1,1
CC(CCC1CCCCC1)C[C]1[C]2CC[CH]C2C1C,1
CC(CCC1C[C]2CCC1C2)C1C2CCC3(CC(CC4CCCCC4)C(C)C13)C2,1
CC(CCC1C[C]2CCC1C2)C1C2CCC3(CC(CCC4CCCCC4)C(C)C13)C2,1
CC(CCCC(C)C1CCCC2CCC(CC3CCC(C4CCCCC4C4CCCC4)CC3)C21)CC1CCCCC1,1
CC(CCCC1CCC(C2C(C)CC3CCCCC32)CC1)C1CCCCC1,1
CC(CCCC1CCC(C2CCCCC2)CC1)C1CCCCC1,1
CC(CCCC1CCCCC1)C1CCCC1,1
CC(CCCC1CCCCC1)C1CCCC2C(C)CC(C3CCCCC3)CC12,1
CC(CCCCC(C)C(CC(C)C1CCCCC1)C(CC1CCCCC1CC1CCCCC1)C1CCCC1)CCC(C)CCCC1CCC(C2CCCC2)C1,1
CC(CCCCC1CCCCC1)C1CCCC1,1
CC(CCCCCC1CCCCC1)C1CCCC1,1
CC(CCCCCCCCC1CCCCC1)C1CCCCC1,1
CC(CCCCCCCCC1CCCCC1)CC1CCCCC1,1
CC(CC[C]1CC(C)C(C2CCC(C3CCCCC3C)CC2)C1)C1CCCC1,1
CC(CC[C]1[CH][CH][CH][CH]C1)[C]1C[CH]CC1,1
CC(C[CH]C1CCCCC1)C[C]1CC2[CH]C(C)C3[CH]C[C]4CCC4[C]3[C](CC(C)C3CCCCC3)C(C1)C2,1
CC(C[CH]CC1CCCCC1)C1CCCCC1,1
CC(C[CH][C]1[CH][CH][CH][CH]C1)C1C[CH]CC1,1
CC(C[C]([CH]CCC(C)(C)C1CCCCC1)CC1CCCCC1)C[C]1CCCC1,1
CC(C[C]1C2CCCCC2C(C)C1C1CCCCC1)C1CCCCC1,1
CC(C[C]1[CH]CC2CCCCC12)[C](C[CH]CC1[CH]CC(CC2CCCCC2)CC1)CC1CCCCC1,1
CC(C[C]1[C]2CCC(CC3CCCC3)CC2C1C)C(C)C1CCCC1,1
CC(C[C]1[C]2CCC(CC3CCCCC3)CC2C1C)C(C)C1CCCC1,1
CC(C[C]1[C]2CCC(CC3CCCCC3)CC2C1C)CC1CCCC1,1
CC(C[C]1[C]2CC[CH]C2C1C)C1CCCC1C1CCCCC1,1
CC(C[C]1[C]2CC[CH]C2C1C)C1CCCC2CCCCC21,1
CC([CH]C12CC3CC(CC(C3)C1)C2)C1[CH]C[C]2C[C]21,1
CC([CH]C1CCCCC1)CC1C[C]2C[C](C1)[C]1C[C]21,1
CC([CH]CC(C)(C)C1CCCC2CCCCC21)C1[CH]C[CH]CC1,1
