variant,base_model,calibration,threshold_objective,threshold,internal_auroc_mean,internal_auroc_std,internal_accuracy_mean,internal_accuracy_std,internal_f1_mean,internal_f1_std,internal_kappa_mean,internal_kappa_std,external_auroc,external_accuracy,external_f1,external_kappa,coverage
knn_mean_r2_jaccard__cal_sigmoid__thr_f1,knn_mean_r2_jaccard,sigmoid,f1,0.4500000000000001,0.8908065618591934,0.00362494932255585,0.7973856209150327,0.03697290359145341,0.7797663435247328,0.055190536736906826,0.5952000649373512,0.07353118686111655,0.85625,0.7682119205298014,0.7535211267605634,0.5360779494382022,1.0
blend_inverse_stacking__cal_isotonic__thr_kappa,blend_inverse_stacking,isotonic,kappa,0.4200000000000001,0.9043062200956937,0.00132914808493709,0.8137254901960784,0.04159451654038516,0.7797647058823529,0.06189264061209308,0.6282090757539872,0.08277929507337273,0.8527412280701755,0.7417218543046358,0.6904761904761905,0.48233122362869196,1.0
lgbm_morgan_r2_only__cal_isotonic__thr_kappa,lgbm_morgan_r2_only,isotonic,kappa,0.48000000000000015,0.9010594668489404,0.009666531526815443,0.8104575163398693,0.02772967769359016,0.779418446160836,0.053008913628250956,0.6216076511761248,0.05495163128399195,0.8088377192982455,0.7450331125827815,0.7003891050583657,0.4890802829898493,1.0
lgbm_morgan_r2_only__cal_isotonic__thr_f1,lgbm_morgan_r2_only,isotonic,f1,0.37000000000000005,0.9010594668489404,0.009666531526815443,0.7973856209150327,0.018486451795726746,0.7773003938417472,0.03595029105925164,0.5952535503678771,0.036588373840025716,0.8088377192982455,0.7350993377483444,0.7101449275362319,0.4696171408500176,1.0
knn_mean_r2_jaccard__cal_none__thr_f1,knn_mean_r2_jaccard,none,f1,0.5000000000000002,0.8908065618591934,0.00362494932255585,0.7843137254901962,0.018486451795726746,0.7771604101730135,0.03590314957102049,0.5688108901800202,0.03654206184898176,0.85625,0.7682119205298014,0.7602739726027398,0.5362407862407863,1.0
knn_mean_r2_jaccard__cal_none__thr_kappa,knn_mean_r2_jaccard,none,kappa,0.5000000000000002,0.8908065618591934,0.00362494932255585,0.7843137254901962,0.018486451795726746,0.7771604101730135,0.03590314957102049,0.5688108901800202,0.03654206184898176,0.85625,0.7682119205298014,0.7602739726027398,0.5362407862407863,1.0
blend_inverse_hybrid_logreg__cal_isotonic__thr_f1,blend_inverse_hybrid_logreg,isotonic,f1,0.3,0.8826469583048531,0.0005437423983833265,0.8006535947712419,0.023108064744658412,0.7768235793044953,0.04063315048803104,0.6018694333128354,0.045840784685139885,0.8528947368421052,0.7715231788079471,0.7453874538745388,0.5424443370954284,1.0
blend_inverse_hybrid_logreg__cal_isotonic__thr_kappa,blend_inverse_hybrid_logreg,isotonic,kappa,0.3,0.8826469583048531,0.0005437423983833265,0.8006535947712419,0.023108064744658412,0.7768235793044953,0.04063315048803104,0.6018694333128354,0.045840784685139885,0.8528947368421052,0.7715231788079471,0.7453874538745388,0.5424443370954284,1.0
weighted_knn_r2__cal_sigmoid__thr_f1,weighted_knn_r2,sigmoid,f1,0.46000000000000013,0.8945659603554341,0.001933306305363104,0.7973856209150327,0.03697290359145341,0.7765843179377014,0.05620397616305538,0.5952691499381243,0.07351869509911724,0.8566008771929825,0.7715231788079471,0.7544483985765125,0.5426451867784557,1.0
stacking_combo_logreg__cal_isotonic__thr_kappa,stacking_combo_logreg,isotonic,kappa,0.4400000000000001,0.9014439507860561,0.006343661314472717,0.8104575163398693,0.046216129489316825,0.7746679316888045,0.06910056780096238,0.6217078964768923,0.09197335097845936,0.8506578947368422,0.7450331125827815,0.6956521739130435,0.4889904627961148,1.0
blend_hybrid_stacking__cal_isotonic__thr_kappa,blend_hybrid_stacking,isotonic,kappa,0.4400000000000001,0.9013585099111414,0.006464492958557936,0.8104575163398693,0.046216129489316825,0.7746679316888045,0.06910056780096238,0.6217078964768923,0.09197335097845936,0.8500657894736843,0.7450331125827815,0.6956521739130435,0.4889904627961148,1.0
distance_inverse_knn_r2__cal_sigmoid__thr_f1,distance_inverse_knn_r2,sigmoid,f1,0.46000000000000013,0.8968301435406698,0.003927028432768817,0.7908496732026143,0.03697290359145349,0.7730524642289349,0.05339836582887282,0.5821365767814022,0.07357058820846038,0.8519517543859649,0.7649006622516556,0.7436823104693141,0.5293058787373228,1.0
distance_inverse_knn_r2__cal_sigmoid__thr_kappa,distance_inverse_knn_r2,sigmoid,kappa,0.46000000000000013,0.8968301435406698,0.003927028432768817,0.7908496732026143,0.03697290359145349,0.7730524642289349,0.05339836582887282,0.5821365767814022,0.07357058820846038,0.8519517543859649,0.7649006622516556,0.7436823104693141,0.5293058787373228,1.0
