accuracy,precision,recall,f1,kappa,auroc,specificity,sensitivity,mcc,tp,fp,tn,fn,source_csv,source_name,model_group,row_index,metric,mean,std,model_name,n_train,n_test,overlap_removed,optuna_best_cv_auroc,representation,fold,auc,acc,se,split,auprc
0.7417218543046358,0.74,0.74,0.74,0.483421052631579,0.8070614035087719,0.743421052631579,0.74,0.483421052631579,111.0,39.0,113.0,39.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_1024__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_1024__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7516556291390728,0.7622377622377622,0.7266666666666667,0.7440273037542662,0.5031369280042118,0.8121052631578947,0.7763157894736842,0.7266666666666667,0.5036788095462111,109.0,34.0,118.0,41.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7251655629139073,0.6982248520710059,0.7866666666666666,0.7398119122257053,0.4507647136158464,0.7540570175438597,0.6644736842105263,0.7866666666666666,0.4543702872403679,118.0,51.0,101.0,32.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.695364238410596,0.7164179104477612,0.64,0.676056338028169,0.3902738764044944,0.7540570175438597,0.75,0.64,0.3924867414543885,96.0,38.0,114.0,54.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_isotonic__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7251655629139073,0.695906432748538,0.7933333333333333,0.7414330218068536,0.4508128478156084,0.7602631578947369,0.6578947368421053,0.7933333333333333,0.4552289039892205,119.0,52.0,100.0,31.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_none__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_none__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7251655629139073,0.6982248520710059,0.7866666666666666,0.7398119122257053,0.4507647136158464,0.7602631578947369,0.6644736842105263,0.7866666666666666,0.4543702872403679,118.0,51.0,101.0,32.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_none__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_none__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7218543046357616,0.6964285714285714,0.78,0.7358490566037735,0.4441230607415198,0.7602631578947369,0.6644736842105263,0.78,0.4473077640461958,117.0,51.0,101.0,33.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7019867549668874,0.7112676056338029,0.6733333333333333,0.6917808219178082,0.4037381537381537,0.7602631578947369,0.7302631578947368,0.6733333333333333,0.4043064240392391,101.0,41.0,111.0,49.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc__cal_sigmoid__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7119205298013245,0.7142857142857143,0.7,0.7070707070707071,0.4237399657849717,0.7633991228070175,0.7236842105263158,0.7,0.4238236491381299,105.0,42.0,110.0,45.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_f1.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_f1.csv,confirmed_models,0,,,,,,,,,,,,,,,
0.7119205298013245,0.7142857142857143,0.7,0.7070707070707071,0.4237399657849717,0.7633991228070175,0.7236842105263158,0.7,0.4238236491381299,105.0,42.0,110.0,45.0,confirmed_models/results_full_coverage_descriptor_fp_meta_v4/summaries/external_metrics__lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_kappa.csv,confirmed_models__results_full_coverage_descriptor_fp_meta_v4__summaries__external_metrics__lgbm_morgan_r2_2048_plus_desc_selected__cal_isotonic__thr_kappa.csv,confirmed_models,0,,,,,,,,,,,,,,,
