,scaffold,frequency
253,O=C1C=C2CC[C]3[C](CCC4CCC[C]34)[C]2CC1,2
254,c1ccc(Sc2ccccc2N2CCNCC2)cc1,1
255,C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,1
256,O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O,1
257,O=C1C=CC2[C]3CCC4OC(=O)CC[C]4[C]3CCC2=C1,1
258,O=C1CC(=O)N(c2ccccc2)c2ccccc2N1,1
259,O=S(=O)(OCC1CCCOC1)c1ccccc1,1
260,O=C1CCC2[C]3Cc4cccc5c4C2(CCN3)[C]1O5,3
261,[CH]1CC[C]2[C]3Cc4cccc5c4C2(CCN3)[C]1O5,1
262,c1ccc(CCCNCCc2ccccc2)cc1,2
263,c1ccc(CCNCCOc2ccccc2)cc1,3
264,c1cc2c3c(c1)OC1CCCC4C(C2)NCCC314,1
265,C=C1C=Nc2ccccc21,1
266,c1ccc(C(CCN2CCCCC2)C2CCCCC2)cc1,1
267,c1ccc(-c2nc3ccccc3o2)cc1,2
268,O=c1oc2cccc3c(=O)oc4cccc1c4c23,1
269,O=S(=O)(OC[C]1CO[CH]CO1)c1ccccc1,1
270,O=C1C=CC(OC(=O)C2CC2)C1,1
271,O=C1C=C2CC[C]3[C]4CCCC4CC[C]3C2CC1,3
272,O=C(NCc1ccccc1)NCc1ccccc1,1
273,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1,1
274,O=C1NCc2cncn2-c2ccccc21,1
275,c1ccc(CNc2ccccc2)cc1,1
276,O=C([CH]c1ccccc1)OC1C[C]2N[C](C1)[C]1O[C]21,1
277,O=C(Cc1ccccc1)OC1CC2NC(C1)C1OC21,1
278,O=C(OC1CC2CCC(C1)N2)c1ccccc1,1
279,O=C(CNC12CC3CC(CC(C3)C1)C2)N1[CH]CCC1,1
280,O=C(CNC12CC3CC(CC(C3)C1)C2)N1CCCC1,1
281,O=c1cccnn1-c1ccccc1,2
282,c1ccc(CNCCOc2ccccc2)cc1,1
283,c1ccc(C2CNCCc3ccccc32)cc1,1
284,[CH](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1
285,O=C1C[C]2CC[C]3[C]4CCCC4CC[C]3C2CO1,1
286,O=C1CC2CCC3C4CCCC4CCC3C2CO1,1
287,c1ccc(-c2cccnc2)cc1,1
288,O=C(Nc1nccs1)c1ccccc1,1
289,c1ccc(CCOCC2CC2)cc1,1
290,c1ccc(C(OC2C[C]3CC[C](C2)N3)c2ccccc2)cc1,1
291,O=c1oc2ccccc2cc1Cc1ccccc1,2
292,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,1
293,O=S(=O)(Nc1ccno1)c1ccccc1,1
294,[CH]1[CH]Cc2ccccc2C1,1
295,c1ccc2c(c1)CCCC2,1
296,c1ccc(Cn2ncc3ccccc32)cc1,1
297,O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,1
298,C1CCC(C2CCCCC2)CC1,1
299,C=C1CC2CCC[C]2[C]2CCC3=CCCC[C]3[C]21,1
300,C=C1CC2CCCC2C2CCC3=CCCCC3C12,1
301,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,2
302,c1ccc2c(c1)ccc1ccc3c(c12)OCO3,1
303,c1ccc([C]2CCNC[C]2COc2ccc3c(c2)OCO3)cc1,1
304,O=C(NN1CCCCCC1)NS(=O)(=O)c1ccccc1,1
305,[CH]1CCNC[C]1Nc1ncnc2[nH]ccc12,1
306,[CH]1[CH]C=CC[CH]1,1
307,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,1
308,O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,1
309,O=C1CCC2=C(C[CH][C]3[C]2CCC2CCC[C]32)C1,1
310,c1ccc(O[C]([C]2CNCCO2)c2ccccc2)cc1,1
311,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2,2
312,O=C1CN(N=Cc2ccc(-c3ccccc3)o2)C(=O)N1,1
313,O=C1OCC(c2ccccc2)=C1c1ccccc1,1
