,scaffold,frequency
383,CC1CC2CCCCC2C(C)C1CCC1CCC(C(C)C2CCCCC2)CC1,1
384,CC1CC2CCCCC2CCC1CCCCC1CCCCC1,2
385,CC(CC1CCCC1)CC1CCC(CCCC[CH]C2CCCCC2)CC1,1
386,CC1CC[CH]CC1CCC1CCCC2[CH]CC[C]21,1
387,CC1CCCCC1CCC1CCCC2CCCC21,2
388,CC(C)(CC1CCCCC1)C1CCC(CCC2CCCCC2)CC1,1
389,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,1
390,CC1CCCC2C([CH]CCC3CCCCC32)C1,1
391,C1CCC(CCC2CCCC(C3CCCC3)C2)CC1,6
392,C1CCC23CC4CC(C5CCC4C52)C3C1,1
393,CC1CCC(C2CC2)C2CC(C3C[C]4CCCC[C]4C3)CCC12,1
394,CC(C[C]1[C]2CC[CH]C2C1C)C1CCCC1C1CCCCC1,1
395,CC(CC1C(C)C2CCCC21)C1CCCC1C1CCCCC1,1
396,CC(CC1CCCCC1)CC(C)(C)C1CCCCC1,4
397,CC([CH]C[CH]CCC1CCCCC1)C1[CH]C[C]2CCCC[C]21,2
398,CC(CC1CCCCC1)C1CCCC(CCC2CC2)C1,1
399,C1CCC(CCC2CCC(C3CCCCC3)C2)CC1,6
400,C1CCCCCCCCCCC1,2
401,CC1CCCC(CCC2CCCC3CCCCC32)C1,2
402,CC1C[CH]C[C](CC[C]2[CH]CCC3C[CH]C[CH][C]23)C1,2
403,[CH]([CH]C1CCC2CCCCC2C1)CC1CCCC1,1
404,CC(CCCCCC1CCCCC1)C1CCCC1,1
405,CC(CC1CCCCC1)CC(C)(C)C1CCCCC1C(C)CC1CCC1,1
406,CC(C[CH][C]1[CH][CH][CH][CH]C1)C1C[CH]CC1,1
407,CC(CCC1CCCCC1)C1CCCC1,2
408,CC1CCC2C3CCC(C3)C2CC1,1
409,C1CCC(CCCCC2CCCCC2)CC1,1
410,CC1CCC2CC3CC(CCC4CCCCC4)CC3CC2C1,1
411,[CH](CCCCC1CCCCC1)CC1CCCCC1,1
