,scaffold,frequency
267,O=C1CCO1,1
268,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,1
269,O=C([CH]NS(=O)(=O)c1cccc2c1NCCC2)N1[CH]C[CH]CC1,1
270,O=C(CNS(=O)(=O)c1cccc2c1NCCC2)N1CCCCC1,1
271,[CH]1COc2cc(OCc3cccc(-c4ccccc4)c3)ccc21,1
272,c1ccc(-c2ccc(Cn3cnc4ccc(-c5nc6ccccc6[nH]5)cc43)cc2)cc1,1
273,c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,1
274,O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,1
275,c1ccc(C2CC2Nc2ncnc3c2nnn3C2CCCC2)cc1,1
276,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C]3O[C]1C[CH][CH][CH]O1,1
277,O=C1CCC2C(CCC3C4CC(=O)C(CCCC5CO5)=C4CCC23)C1,1
278,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,1
279,C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,1
280,O=C1CCC2C(CCC3C4CCC=C4CCC23)C1,1
281,O=C1c2ccccc2OC(c2ccccc2)C1C1C(=O)c2ccccc2OC1c1ccccc1,2
282,C1C2C3C4CC5C3C1C5C24,1
283,N=C(C(=O)N[C]1[C]2SCC(C[n+]3ccccc3)=CN2C1=O)c1cscn1,1
284,N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,1
285,N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)cn[nH]3)CSC12)c1cscn1,1
286,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,2
287,C=C1SC(C(=O)NC2C(=O)N3C=C(CSc4nnn[nH]4)CSC23)S1,1
288,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,1
289,C1CCC(OC2OCCC2OC2CCCCO2)CC1,1
290,O=C(N[C]([CH]CNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C]1CCOC1,1
291,[CH]1[CH][CH][C](O[C]2[CH]C[CH][C](O[C]3[CH][CH][CH][CH]O3)[CH]2)O[CH]1,1
292,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,1
293,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,1
294,C1CCN2CC3C(CCC4C3CC35OC6CCCC3C6CCC45)CC2C1,1
295,O=C1OCC=C1CCCCCCCCCCCC1CCC(C2CCCO2)O1,1
296,O=C1OC(CCc2ccccc2)CC=C1[CH]c1cccc(NS(=O)(=O)c2ccccn2)c1,1
297,O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12)OC1CCCCC1,1
298,O=C(N[C]1[CH]Cc2ccccc21)[C](C[CH]CN1[CH]CN(Cc2cccnc2)CC1)Cc1ccccc1,1
299,N=C(C(=O)N[C]1[C]2SCC(C=Cc3cncs3)=CN2C1=O)c1cscn1,2
300,N=C(C(=O)NC1C(=O)N2C=C(C=Cc3cncs3)CSC12)c1cscn1,1
301,O=C1OCC=C1CCCCCCCCCCCCCC1CCC(C2CCCO2)O1,3
302,O=C(CC1CCNCC1)N1CCC(C2c3ccccc3CCc3cccnc32)CC1,1
303,O=C1OC[C]2[C]1[C](c1ccccc1)c1cc3c(cc1[C]2O[C]1[CH][CH][C]2O[C](c4cccs4)OC[C]2O1)OCO3,1
304,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C2C1,1
305,N=C(C(=O)NC1C(=O)N2C=C(Cn3ccc[nH+]3)CSC12)c1ncsn1,1
306,O=C([CH]NC(=O)c1ccc2ccccc2n1)N[C]([CH]CN1[CH]C[C]2CCCC[C]2C1)Cc1ccccc1,1
307,O=C(CN1CCOCC1)NC(CCc1ccccc1)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)C1CO1,1
308,C=C1CC23CCC4CCC(OC5CCCCO5)CC4C2CCC1C3,1
309,C1=CC2CC(c3ccc4c(c3)C35CCN6CC=CC(CCC3N4)C65)c3[nH]c4ccccc4c3CN(C1)C2,1
310,O=C1[CH]C=CC[CH]C[CH][C]2[CH]C[CH]C(O2)C(=O)C(=O)N2CCCC[C]2C(=O)O[C](C=CC2C[CH][CH]CC2)[CH][CH]C1,1
311,O=C1CC=CCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1,1
312,O=C(C[CH]c1ccccc1)O[C]1C=C2[CH]C(=O)C3[CH]C[C]4OCC4[C]3[C](OC(=O)c3ccccc3)C(C1)C2,1
313,O=C1C=CC=C[CH][CH][CH][CH][CH][CH][CH][CH]C=COC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,1
314,O=C(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)OCCCO[PH](=O)COCCn1cnc2cncnc21,5
315,O=C(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)OCCCO[PH](=O)COCCn1cnc2cncnc21,5
316,O=C([CH][CH]c1ccccc1)O[C]1C=C2[CH]C(=O)C3[CH]C[C]4OCC4[C]3[C](OC(=O)c3ccccc3)C(C1)C2,1
317,O=C(CC(NC(=O)c1ccccc1)c1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,1
318,O=C1CCCc2ncccc2C(=O)OCC2OC34CC2CCC3CC(OC(=O)c2ccccc2)C(C4)O1,1
319,O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,2
320,O=C1C[CH]C[CH]CC[CH][CH]C[CH]CC2C[CH][CH][C](C[C](OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=C[CH][CH][CH][CH]O1)O2,1
321,O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,1
322,O=C(CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)OCCCOP(=O)(COCCn1cnc2cncnc21)OCCCSC(=O)[CH]Cc1ccccc1,1
323,O=C(CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)OCCCOP(=O)(COCCn1cnc2cncnc21)OCCCSC(=O)[CH]Cc1ccccc1,1
324,C=C1NC(=O)CCCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
325,O=C1[CH][CH]C=C[CH]C(=O)CC([CH]C[C]2C[CH][CH]CC2)OC(=O)[C]2CCCCN2C(=O)C(=O)C2[CH]CC[C](C[CH]C=CC=CC=C[CH]C[CH]1)O2,1
326,O=C1[CH][CH]C=C[CH]C(=O)C[C]([CH]C[C]2C[CH][CH]CC2)OC(=O)[C]2CCCCN2C(=O)C(=O)C2[CH]CC[C](C[CH]C=CC=CC=C[CH]C[CH]1)O2,2
327,O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc2ccccc2)NC(=O)[CH]N1,43
328,C=C1NC(=O)C(NC(=O)c2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
329,C=C1NC(=O)C(NC(=O)c2cc3ccccc3o2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
330,C=C1NC(=O)C(NC(=O)c2ccc(-c3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
331,C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccncc3)no2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
332,C=C1NC(=O)CCCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,3
333,O=C1CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CCc2ccccc2)CSSCCN1,1
334,C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccccc3)n[nH]2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
335,C=C1NC(=O)C(NC(=O)CCc2nc(-c3ccccc3)no2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
336,O=C1[CH]CCNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]N1,15
337,C=C1NC(=O)C(NC(=O)c2ccc(Oc3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
338,C=C1NC(=O)C(NC(=O)c2ccc(-c3nn[nH]n3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
339,C=C1NC(=O)C(NC(=O)COc2ccccc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
340,C=C1NC(=O)C(NC(=O)c2cn3c4c(cccc4c2=O)OC[CH]3)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
341,C=C1NC(=O)C(NC(=O)c2cccc(-c3ccccc3)c2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC[CH]NC(=O)[CH]NC1=O,1
342,C=C1NC(=O)C(NC(=O)c2ccc(NS(=O)(=O)Cc3ccccc3)cc2)CCNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC1=O,1
